ID,PATHWAYS,SECONDARY-METABOLISM,REACTANTS,PRODUCTS,REACTION-DIRECTION
RXN18C3-47,PWY18C3-12,True,"CPD-19027, ACETYL-COA","CPD-19130, CO-A",LEFT-TO-RIGHT
RXN18C3-114,UNK,False,"CPD-20296, 2-METHYL-BUTYRYL-COA","CPD-20302, CO-A",
RXN-8140,PWY-5268,True,"CPD-12575, CPD-7383","CPD-7140, UDP",LEFT-TO-RIGHT
RXN-9821,PWY-6036,False,"CPD-12575, CPD-10537","PROTON, CPD-10536, UDP",LEFT-TO-RIGHT
ALDHDEHYDROG-RXN,UNK,False,"WATER, NAD, Aldehydes, Aldehydes, NAD, WATER","PROTON, NADH, Carboxylates, Carboxylates, NADH, PROTON",LEFT-TO-RIGHT
ISOCITRATE-DEHYDROGENASE-NAD+-RXN,PWY-6549,False,"THREO-DS-ISO-CITRATE, NAD","2-KETOGLUTARATE, CARBON-DIOXIDE, NADH",LEFT-TO-RIGHT
RXN-12195,PWY0-166,False,"WATER, CTP","PROTON, Pi, CDP",LEFT-TO-RIGHT
ASNSYNB-RXN,ASPARAGINE-BIOSYNTHESIS,False,"WATER, GLN, L-ASPARTATE, ATP","PROTON, GLT, ASN, PPI, AMP",LEFT-TO-RIGHT
UMPKI-RXN,UNK,False,"ATP, UMP","PROTON, ADP, UDP",
RXN-12625,PWY-6902,False,"CHITOBIOSE, WATER",N-acetyl-D-glucosamine,LEFT-TO-RIGHT
RXN-18957,UNK,False,"CPD-17650, OXYGEN-MOLECULE, Donor-H2","CPD-20421, WATER, Acceptor",LEFT-TO-RIGHT
RXN-13876,PWY-7150,True,"CPD-12575, CPD-14854, CPD-12575","PROTON, UDP, CPD-14859, UDP, PROTON",LEFT-TO-RIGHT
AMYLOMALT-RXN,UNK,False,"Glucopyranose, MALTOTETRAOSE, Glucopyranose","MALTOSE, MALTOTRIOSE, MALTOTRIOSE, MALTOSE",LEFT-TO-RIGHT
UROGENIIISYN-RXN,PWY-5918,False,HYDROXYMETHYLBILANE,"UROPORPHYRINOGEN-III, WATER",LEFT-TO-RIGHT
RXN-9039,PWY-5769,False,"CPD-8096, CPD-8096","CPD-183, CPD-183",LEFT-TO-RIGHT
RXN-8608,PWY-6291,True,FARNESYL-PP,"CPD-7989, PPI",LEFT-TO-RIGHT
RXN-13441,PWY-7619,False,"MALONYL-COA, LINOLENOYL-COA, PROTON","CPD-14422, CO-A, CARBON-DIOXIDE",LEFT-TO-RIGHT
RXN-16635,PWY-401,False,"D-Galactosyl-12-diacyl-glycerols, CPD-10364","Tetragalactosyldiacylglycerol, DIACYLGLYCEROL",LEFT-TO-RIGHT
RXN-15352,PWY-7458,True,"CPD-16558, CPD-15283","CPD-16559, Glucopyranose",LEFT-TO-RIGHT
3.2.1.26-RXN,UNK,False,"WATER, CPD-15716, WATER","BETA-D-FRUCTOSE, GLC-6-P, GLC-6-P, BETA-D-FRUCTOSE",LEFT-TO-RIGHT
RXN3O-1380,PWY-5129,False,"CPD-13612, OXYGEN-MOLECULE, FERROCYTOCHROME-B5, PROTON","PHYTOSPINGOSINE, WATER, FERRICYTOCHROME-B5",LEFT-TO-RIGHT
RXN18C3-109,UNK,False,"CPD-20294, ISOBUTYRYL-COA","CPD-20297, CO-A",
RXN-18207,PWYQT-4450,True,"CPD-19490, PROTON","CPDQT-28, CARBON-DIOXIDE",LEFT-TO-RIGHT
AMP-DEAMINASE-RXN,PWY-6596,False,"PROTON, AMP, WATER","IMP, AMMONIUM",LEFT-TO-RIGHT
LONG-CHAIN-ENOYL-COA-HYDRATASE-RXN,UNK,False,Long-Chain-3S-Hydroxyacyl-CoAs,"Long-Chain-Trans-23-Dehydroacyl-CoA, WATER",RIGHT-TO-LEFT
RXNQT-4327,PWYQT-4474,True,"CPD-12575, CPDQT-414","PROTON, CPDQT-418, UDP",LEFT-TO-RIGHT
RXN-16194,PWY-5706,False,"CPD-17443, WATER","CPD-9298, GLT",LEFT-TO-RIGHT
RXN-18968,UNK,False,"CPD-20426, OXYGEN-MOLECULE, Donor-H2","CPD-20427, WATER, Acceptor",LEFT-TO-RIGHT
RXN-9002,PWY-5756,False,"CPD-12575, CPD-9460","CPD-9462, UDP",LEFT-TO-RIGHT
RXN0-1001,PWY-4702,False,"MI-HEXAKISPHOSPHATE, WATER","CPD-534, Pi",LEFT-TO-RIGHT
3-ISOPROPYLMALDEHYDROG-RXN,LEUSYN-PWY,False,"2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE, NAD","CPD-7100, NADH, PROTON",LEFT-TO-RIGHT
RXN-12295,PWY-6786,False,"CPD-13218, NADPH, PROTON","CPD-13220, NADP",LEFT-TO-RIGHT
RXN-9562,UNK,False,"CPD-10204, BUTANAL","CPD-10208, WATER",LEFT-TO-RIGHT
RXN-7699,PWY-5138,False,D-3-HYDROXYACYL-COA,"TRANS-D2-ENOYL-COA, WATER",LEFT-TO-RIGHT
RXN-18160,UNK,False,"CPDQT-405, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases, GLUTATHIONE","CPD-12399, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-8267,PWY-5321,True,"CPD-520, UDP-L-RHAMNOSE","PROTON, CPD-8013, UDP",LEFT-TO-RIGHT
RXN-11280,UNK,False,"PROTON, CPD-461","CPD-12227, PPI",
RXN-10698,PWY-735,False,"NAD, CPD-11519","NADH, PROTON, CPD-11520",LEFT-TO-RIGHT
RXN-18444,UNK,False,"CPD-4211, CPD-19787","PPI, CPD-19788",LEFT-TO-RIGHT
RXNQT-4362,PWYQT-4477,False,"CPDQT-435, WATER","CPDQT-436, CPDQT-331, GLT, GLY",LEFT-TO-RIGHT
RXN18C3-21,PWY18C3-7,False,"GERANYLGERANYL-PP, WATER","CPD-18855, PPI",LEFT-TO-RIGHT
RXN-16417,PWY-321,False,"18-OXOOLEATE, NADP, WATER","OCTADEC-9-ENE-118-DIOIC-ACID, NADPH, PROTON",LEFT-TO-RIGHT
RXN-18668,PWY-6801,False,"PROPIONYL-COA, BUTANOL","CPD-19956, CO-A",LEFT-TO-RIGHT
RXN-5482,UNK,False,"CPD-12575, PROTON, NADPH","UDP-L-RHAMNOSE, NADP, WATER",LEFT-TO-RIGHT
RXN-9219,PWY-5848,True,CPD-9851,CPD-9848,LEFT-TO-RIGHT
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN,PWY-3742,False,"DIHYDRONEOPTERIN-P3, WATER","PROTON, DIHYDRONEOPTERIN-P, PPI",LEFT-TO-RIGHT
RXN-12954,PWY-5882,False,"COUMARYL-ALCOHOL, ACETYL-COA","CPD-12215, CO-A",LEFT-TO-RIGHT
RXN-9615,PWY-5986,False,AMMONIUM,AMMONIUM,LEFT-TO-RIGHT
ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN,PWY-6323,False,"ANTHRANILATE, BENZOYLCOA","CPD-423, CO-A",LEFT-TO-RIGHT
RXN-16095,PWY-6598,False,"CPD-17347, NADP","CPD-17346, NADPH, PROTON",RIGHT-TO-LEFT
RXN-8285,PWY-5343,False,CPD-8065,"CPD-8066, CPD-170",LEFT-TO-RIGHT
DADPKIN-RXN,PWY-7224,False,"DADP, ATP","DATP, ADP",LEFT-TO-RIGHT
RXN-13016,UNK,False,"CPD-14046, PROTON","3-METHYLTHIOPROPANALDOXIME, WATER, CARBON-DIOXIDE",
RXN-8485,PWY-5400,True,"PROTON, CPD-8657, CPD-8651","CPD-8658, WATER",LEFT-TO-RIGHT
RXN0-1132,PYRUVDEHYD-PWY,False,"Pyruvate-dehydrogenase-dihydrolipoate, NAD","Pyruvate-dehydrogenase-lipoate, NADH, PROTON",LEFT-TO-RIGHT
RXN-16364,PWY-7631,False,"S-ADENOSYLMETHIONINE, CPD-8912","CPD-17600, ADENOSYL-HOMO-CYS, PROTON",LEFT-TO-RIGHT
RXN-7812,PWY-5808,True,"CPD-7104, CPD-4211","PROTON, 4-PRENYLPHLORISOBUTYROPHENONE, PPI",LEFT-TO-RIGHT
RXN-8320,PWY-762,False,"CPD-2181, OXYGEN-MOLECULE, FERROCYTOCHROME-B5, PROTON","CPD-8088, WATER, FERRICYTOCHROME-B5",LEFT-TO-RIGHT
TRANS-RXNIO2-1,PWYIO2-3,False,HCO3,HCO3,LEFT-TO-RIGHT
RIBOFLAVIN-SYN-RXN,RIBOSYN2-PWY,False,"PROTON, DIMETHYL-D-RIBITYL-LUMAZINE","AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE, RIBOFLAVIN",LEFT-TO-RIGHT
RXN-19593,PWYQT-4472,True,"CPD-12397, WATER","CPDQT-407, GLY",LEFT-TO-RIGHT
RXN-1382,PWY-6273,False,"L-1-PHOSPHATIDYL-ETHANOLAMINE, SER","L-1-PHOSPHATIDYL-SERINE, ETHANOL-AMINE",LEFT-TO-RIGHT
RXN-9540,PWY-5971,False,"R-3-Hydroxypalmitoyl-ACPs, NADP","3-oxo-palmitoyl-ACPs, NADPH, PROTON",RIGHT-TO-LEFT
RXN-19991,PWY-5301,True,"VOMILENINE, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPDMETA-13651, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-11465,PWY-6515,False,"CPD-12575, PHLORETIN","CPD-12447, UDP",LEFT-TO-RIGHT
NITRATE-REDUCTASE-NADH-RXN,PWY-381,False,"NITRITE, WATER, NAD","PROTON, NITRATE, NADH",RIGHT-TO-LEFT
3-ISOPROPYLMALISOM-RXN,LEUSYN-PWY,False,"CPD-9451, WATER",3-CARBOXY-3-HYDROXY-ISOCAPROATE,LEFT-TO-RIGHT
RXN-12185,UNK,False,"CO-A, Omega-Hydroxy-long-Chain-Fatty-Acid, ATP","Omega-Hydroxy-Long-Chain-Fatty-Acyl-Coa, PPI, AMP",LEFT-TO-RIGHT
RXN-9826,PWY-6036,False,"CPD-10538, WATER","CPD-10537, D-Fucoses",RIGHT-TO-LEFT
RXN-9641,PWY-5990,True,CPD-10274,"CPD-10275, WATER",LEFT-TO-RIGHT
RXNQT-4311,PWYQT-4473,True,"CPDQT-349, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","WATER, CARBON-DIOXIDE, Ox-NADPH-Hemoprotein-Reductases, CPDQT-405",LEFT-TO-RIGHT
RXN-12391,PWY-6724,False,"Glucans, MALTOTRIOSE","Glucans, Glucopyranose",LEFT-TO-RIGHT
RXN-8698,PWY-5470,False,"S-TETRAHYDROCOLUMBAMINE, OXYGEN-MOLECULE, PROTON","COLUMBAMINE, HYDROGEN-PEROXIDE",LEFT-TO-RIGHT
ACETATE--COA-LIGASE-ADP-FORMING-RXN,PWY-5535,False,"ATP, ACET, CO-A, CO-A, ACET, ATP","ADP, ACETYL-COA, Pi, Pi, ACETYL-COA, ADP",LEFT-TO-RIGHT
RXNQT-4360,PWYQT-4477,False,CPDQT-432,"CPDQT-433, SULFATE",LEFT-TO-RIGHT
RXN-13281,PWY-7033,False,Long-Chain-Aldehydes,"Alkanes, CARBON-MONOXIDE",LEFT-TO-RIGHT
RXN0-7187,UNK,False,"MET, HYDROGEN-PEROXIDE","CPD-8989, WATER",LEFT-TO-RIGHT
RXNQT-4370,UNK,False,"OXYGEN-MOLECULE, LINOLENIC_ACID, LINOLENIC_ACID, OXYGEN-MOLECULE",CPDQT-458,
RXN-14036,PWY-6326,True,CPD-15043,"CPD-11776, Glucopyranose",LEFT-TO-RIGHT
RXN-9054,PWY-6427,True,"S-ADENOSYLMETHIONINE, CPD-9539","CPD-9531, ADENOSYL-HOMO-CYS",LEFT-TO-RIGHT
RXN-8719,PWY-5478,False,"12346-PENTAKIS-O-GALLOYL-BETA-D-GLUC, OXYGEN-MOLECULE","CPD-8949, WATER",LEFT-TO-RIGHT
RXN-1481,PWY-6029,False,"CPD-1962, NADP, WATER","LEUCOPELARGONIDIN-CMPD, NADPH, PROTON",RIGHT-TO-LEFT
RXN-15493,PWY-7491,False,"CPD-16749, CPD-12575","CPD-16748, UDP, PROTON",LEFT-TO-RIGHT
ASPAMINOTRANS-RXN,THRESYN-PWY,False,"L-ASPARTATE, 2-KETOGLUTARATE","OXALACETIC_ACID, GLT",LEFT-TO-RIGHT
RXN-14815,UNK,False,MANNOSE-6P,CPD-15711,LEFT-TO-RIGHT
RXN0-7271,GLUT-REDOX-PWY,False,"Protein-Ox-Disulfides, Red-Glutaredoxins","Protein-Red-Disulfides, Ox-Glutaredoxins",LEFT-TO-RIGHT
RXN-19009,UNK,False,"CPD-13118, N4-N-ACETYL-BETA-D-GLUCOSAMINYL-X","N4-N-ACETYL-BETA-D-GLUCOSAMINYL-XF, PROTON, GDP",LEFT-TO-RIGHT
RXN-9539,PWY-5971,False,"Myristoyl-ACPs, MALONYL-ACP, PROTON","3-oxo-palmitoyl-ACPs, CARBON-DIOXIDE, ACP",LEFT-TO-RIGHT
RXN-8296,PWY-782,False,"CPD-2188, OXYGEN-MOLECULE, Reduced-ferredoxins, PROTON","CPD-8075, WATER, Oxidized-ferredoxins",LEFT-TO-RIGHT
+-BORNEOL-DEHYDROGENASE-RXN,PWY-6990,True,"CPD-1903, NAD","CPD-862, NADH, PROTON",LEFT-TO-RIGHT
RXN-14813,UNK,False,CPD-15619,L-Fucopyranoses,LEFT-TO-RIGHT
RXNQT-4332,PWYQT-4474,True,"CPDQT-418, PAPS","3-5-ADP, PROTON, CPDQT-296",LEFT-TO-RIGHT
RXN-12314,PWY-5195,True,"CPD-7557, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-13248, Ox-NADPH-Hemoprotein-Reductases, WATER, PROTON",LEFT-TO-RIGHT
RXN-7203,PWY-4661,True,"D-MYO-INOSITOL-34-BISPHOSPHATE, ATP","PROTON, CPD-6681, ADP",LEFT-TO-RIGHT
RXN-7797,UNK,False,"CPD3DJ-82, OXYGEN-MOLECULE, NADH-P-OR-NOP, PROTON","Phytoceramides, NAD-P-OR-NOP, WATER",LEFT-TO-RIGHT
RXN-18185,PWYQT-4450,True,"CPD-19477, WATER",CPDQT-36,LEFT-TO-RIGHT
RXN-15331,PWY-7450,True,"CPD-16537, MALONYL-COA, PROTON","CPD-16538, CO-A",LEFT-TO-RIGHT
RXN-8518,PWY-5412,True,"CPD-8707, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-8708, Ox-NADPH-Hemoprotein-Reductases, WATER, PROTON",LEFT-TO-RIGHT
RXN-16778,PWY-7678,False,"CPD-7117, UDP-D-XYLOSE","CPD-18092, UDP, PROTON",LEFT-TO-RIGHT
RXN-7913,PWY-7200,False,"ATP, DCMP","ADP, DCDP",LEFT-TO-RIGHT
RXN-13338,PWY-7680,False,CPD-4750,"CPD-14312, PPI",LEFT-TO-RIGHT
RXN-9057,PWY-6427,True,CPD-9532,CPD-9533,LEFT-TO-RIGHT
RXN-7801,PWY-5129,False,"CPD3DJ-82, O-Glucosylsterols","Glucosyl-acyl-sphinganines, Sterols",LEFT-TO-RIGHT
RXN-12867,PWY-6395,False,"CPD-678, GLUTATHIONE, NADP","CPD-13909, NADPH, PROTON",RIGHT-TO-LEFT
RXN-16233,PWY-6401,True,"CPD-17478, Donor-H2","CPD-17480, WATER, Acceptor",LEFT-TO-RIGHT
3-DEHYDROQUINATE-SYNTHASE-RXN,PWY-6164,False,3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P,"DEHYDROQUINATE, Pi",LEFT-TO-RIGHT
RXN-18942,PWY-7484,False,"CPD-20324, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-20325, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
RXN-8696,PWY-5469,False,"CPD-8921, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-8922, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
3.1.3.72-RXN,UNK,False,"WATER, MI-HEXAKISPHOSPHATE, MI-HEXAKISPHOSPHATE, WATER","Pi, CPD-6661, CPD-6661, Pi",LEFT-TO-RIGHT
RXN-4731,PWY-2881,False,"CPD-12575, CPD-4609","PROTON, CPD-4610, UDP",LEFT-TO-RIGHT
RXN-10628,PWY-6265,False,"CPD-8233, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-11422, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
ORNITHINE-GLU-AMINOTRANSFERASE-RXN,ARGININE-SYN4-PWY,False,"L-ORNITHINE, 2-KETOGLUTARATE","GLT, L-GLUTAMATE_GAMMA-SEMIALDEHYDE",LEFT-TO-RIGHT
RXN18C3-43,PWY18C3-15,True,"CPD-19018, ISOBUTYRYL-COA","CPD-19121, CO-A",LEFT-TO-RIGHT
RXN-9115,PWY-5809,True,CPD-9618,CPD-9628,LEFT-TO-RIGHT
PRAISOM-RXN,TRPSYN-PWY,False,N-5-PHOSPHORIBOSYL-ANTHRANILATE,CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P,LEFT-TO-RIGHT
RXN-4542,PWY-2781,True,"CPD-4443, WATER","CPD-4442, Pi",LEFT-TO-RIGHT
RXN-16365,PWY-7631,False,"S-ADENOSYLMETHIONINE, CPD-8912","CPD-17601, ADENOSYL-HOMO-CYS, PROTON",LEFT-TO-RIGHT
RXN-8618,PWY-5290,True,"GERANYL-PP, WATER","GERANIOL, PPI",LEFT-TO-RIGHT
RXN-6544,PWY-5036,True,"CPD1F-95, 2-KETOGLUTARATE, OXYGEN-MOLECULE","CPD-6228, SUC, CARBON-DIOXIDE",LEFT-TO-RIGHT
RXN-11772,PWY18C3-13,False,CPD-12745,"GERANYLGERANYL-PP, WATER",RIGHT-TO-LEFT
RXN-8025,PWY-5288,True,"CPD1F-129, OXYGEN-MOLECULE, Reduced-ferredoxins, PROTON","CPD-7409, WATER, Oxidized-ferredoxins",LEFT-TO-RIGHT
RXN-16202,PWY-7614,False,"S-METHYLGLUTATHIONE, WATER","CPD-17447, GLY",LEFT-TO-RIGHT
DIHYDROOROT-RXN,PWY-5686,False,"DI-H-OROTATE, WATER","PROTON, CARBAMYUL-L-ASPARTATE",RIGHT-TO-LEFT
RXN-18730,PWY-7897,False,CPD-20023,"CPD-20014, WATER",LEFT-TO-RIGHT
RXN-8171,PWY-5284,True,"CPD-7714, MALONYL-COA","CPD-7708, CO-A",LEFT-TO-RIGHT
RXN-3201,PWY-1981,False,2-OXINDOLE-3-ACETYL-ASP,3-HYDROXY-2-OXINDOLE-3-ACETYL-ASP,LEFT-TO-RIGHT
RXNQT-4329,PWYQT-4471,True,"CPDQT-416, PAPS","3-5-ADP, PROTON, CPDQT-281",LEFT-TO-RIGHT
RXN-13409,UNK,False,FARNESYL-PP,"CPD-14376, PPI",LEFT-TO-RIGHT
2.7.7.15-RXN,PWY3O-450,False,"PROTON, PHOSPHORYL-CHOLINE, CTP","CDP-CHOLINE, PPI",LEFT-TO-RIGHT
RXN-7443,PWY-4961,True,"CPD-313, Acceptor","PYRAZOLIDINE, Donor-H2, PROTON",LEFT-TO-RIGHT
UDPGLUCEPIM-RXN,PWY-6317,False,CPD-12575,CPD-14553,LEFT-TO-RIGHT
RXNQT-4346,PWYQT-4450,True,"CPDQT-28, Amino-Acids-20","CPDQT-404, 2-Oxo-carboxylates",LEFT-TO-RIGHT
RXN-14199,UNK,False,"WATER, DUTP, DUTP, WATER","PROTON, Pi, DUMP, DUMP, Pi, PROTON",LEFT-TO-RIGHT
RXN-12183,UNK,False,"HYDROXY-ACYL-COA, MALONYL-COA, PROTON","HYDROXYLATED-TETRAKETIDE-PYRONE, CARBON-DIOXIDE, CO-A",
RXN-11172,UNK,False,CPD-12113,CPD-12114,
RXNQT-4181,UNK,False,EPOXYSQUALENE,CPDQT-50,LEFT-TO-RIGHT
RXN-8502,PWY-5408,False,CPD-8677,"CPD-8686, T-2-NONENAL-CMPD",LEFT-TO-RIGHT
RIBOFLAVINSYNREDUC-RXN,RIBOSYN2-PWY,False,"CPD-1086, NADP","CPD-602, NADPH, PROTON",RIGHT-TO-LEFT
RXN-10753,PWY-6312,True,CPD-11556,CPD-11587,LEFT-TO-RIGHT
RXN-16816,PWY-7682,False,"CPD-18133, NADH-P-OR-NOP, PROTON","CPD-18134, NAD-P-OR-NOP",LEFT-TO-RIGHT
RXN-13906,PWY-7157,False,"S-ADENOSYLMETHIONINE, CPD-520, CPD-520","ADENOSYL-HOMO-CYS, CPD-13511, CPD-13511, ADENOSYL-HOMO-CYS",LEFT-TO-RIGHT
RXN-8084,PWY-5203,False,"CPD-7609, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-7610, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
2.7.7.35-RXN,UNK,False,"ADP, PROTON, RIBOSE-5P, RIBOSE-5P, PROTON, ADP","ADENOSINE_DIPHOSPHATE_RIBOSE, Pi, Pi, ADENOSINE_DIPHOSPHATE_RIBOSE",RIGHT-TO-LEFT
RXN-8918,UNK,False,"CYS, CPD-9315",CPD-9298,
RXN-6601,PWY-4041,False,"GLUTATHIONE, Amino-Acids-20","CYS-GLY, 5-L-GLUTAMYL-L-AMINO-ACID",LEFT-TO-RIGHT
RXN-8220,PWY-5301,True,"17-O-ACETYLNORAJMALINE, WATER","CPD-4241, ACET, PROTON",LEFT-TO-RIGHT
RXN-8477,PWY-5397,True,"CPD-12575, CPD-8661","PROTON, CPD-8668, UDP",LEFT-TO-RIGHT
RXN-7828,PWY-5139,True,"PELARGONIDIN-3-GLUCOSIDE-CMPD, CPD-12575","CPD-7137, UDP",LEFT-TO-RIGHT
RXN-13640,UNK,False,"OXYGEN-MOLECULE, 2K-4CH3-PENTANOATE, 2K-4CH3-PENTANOATE, OXYGEN-MOLECULE","CARBON-DIOXIDE, CPD-14642, CARBON-DIOXIDE",LEFT-TO-RIGHT
RXN2GG-5264,UNK,False,CPD2GG-5240,CPD2GG-5257,
RXN-9279,PWY-5872,False,"CPD-9864, OXYGEN-MOLECULE, NADPH, PROTON","CPD-9895, WATER, NADP",LEFT-TO-RIGHT
RXN-4286,PWY18C3-1,False,4-ALPHA-METHYL-5-ALPHA,CPD-4184,LEFT-TO-RIGHT
RXN-14436,PWY-7256,True,"WATER, CPD-7138, CPD-7138, WATER","CPD1F-766, Glucopyranose, PROTON",LEFT-TO-RIGHT
RXN-9666,PWY-6733,False,"OLEOYL-COA, WATER","PROTON, OLEATE-CPD, CO-A",LEFT-TO-RIGHT
RXN-13453,PWY-7056,True,"DAPHNIN, WATER","CPD-14427, Glucopyranose",LEFT-TO-RIGHT
RXN-10450,PWY-6235,True,"CPD-734, OXYGEN-MOLECULE, NADPH, PROTON","CPD-11253, NADP, WATER",LEFT-TO-RIGHT
RXN-12449,UNK,False,"CPD-9411, NADP, WATER","CPD-9413, NADPH, PROTON",
TYROSINE-3-MONOOXYGENASE-RXN,PWY-5394,True,"CPD-14053, TYR, OXYGEN-MOLECULE","L-DIHYDROXY-PHENYLALANINE, CPD-5881",LEFT-TO-RIGHT
RXN-13543,UNK,False,"CPD-14529, WATER","CPD-7035, ACET, PROTON",LEFT-TO-RIGHT
RXNQT-4322,PWYQT-4474,True,"CPDQT-409, WATER","CPDQT-414, PYRUVATE, AMMONIUM",LEFT-TO-RIGHT
ADENPHOSPHOR-RXN,UNK,False,"ADENOSINE, Pi","RIBOSE-1P, ADENINE",
L-3-CYANOALANINE-SYNTHASE-RXN,P401-PWY,False,"CYS, HCN","HS, CPD-603, PROTON",LEFT-TO-RIGHT
RXN-18136,PWY-7826,False,"CPD-19446, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-19428, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-9015,PWY-6441,False,"SPERMINE, OXYGEN-MOLECULE, WATER","SPERMIDINE, CPD-6082, HYDROGEN-PEROXIDE",LEFT-TO-RIGHT
GUANOSINEKIN-RXN,PWY-6618,False,"GUANOSINE, ATP","PROTON, GMP, ADP",LEFT-TO-RIGHT
RXN-8263,PWY-6266-ARA,False,"CPD-12575, CPD1F-90","PROTON, CPD-8007, UDP",LEFT-TO-RIGHT
RXN-10038,PWY-6281,False,"L-seryl-SEC-tRNAs, ATP","O-phospho-L-seryl-tRNASecs, ADP, PROTON",LEFT-TO-RIGHT
RXN-11535,PWY-699,False,"CPD-717, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-17422, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXNQT-4142,PWY-882,False,"CPDQT-4, WATER","L-Galactopyranose, Pi",LEFT-TO-RIGHT
PREPHENATE-TRANSAMINE-RXN,PWY-3461,False,"CPD-659, 2-KETOGLUTARATE","PREPHENATE, GLT",LEFT-TO-RIGHT
RXN-11773,PWY-6645,False,"CPD-12745, WATER, Donor-H2","CPD-12746, PPI, Acceptor",LEFT-TO-RIGHT
RXN-19712,PWY-7066,False,"CPD-13668, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-21333, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-12697,PWY-6930,False,"CPD-13686, MALONYL-COA","CPD-13687, CO-A",LEFT-TO-RIGHT
RXN-11832,PWY-7205,False,"ATP, CMP","ADP, CDP",LEFT-TO-RIGHT
RXN-8193,PWY-5291,True,"CPD-7853, Acceptor","CPD-7854, Donor-H2",LEFT-TO-RIGHT
RXN-13471,PWY-7058,True,"CPD-8097, CPD-12575","CPD-14454, UDP, PROTON",LEFT-TO-RIGHT
RXN-12720,PWY-6932,False,"SELENATE, ATP, PROTON","CPD-13713, PPI",LEFT-TO-RIGHT
RXN-1824,UNK,False,"Large-branched-glucans, WATER",Long-linear-glucans,LEFT-TO-RIGHT
RXN-14871,PWY-7363,False,CPD-15741,CPD-15798,LEFT-TO-RIGHT
RXN-11223,PWY-6432,True,"CPD-12184, P-COUMAROYL-COA, WATER","CPD-12188, CO-A, CARBON-DIOXIDE",LEFT-TO-RIGHT
RXN1F-443,PWY-5320,True,"CPD1F-453, UDP-L-RHAMNOSE","CPD1F-420, UDP",LEFT-TO-RIGHT
FORMYL-COA-HYDROLASE-RXN,PWY-7985,False,"WATER, FORMYL-COA","PROTON, FORMATE, CO-A",LEFT-TO-RIGHT
RXN-18144,PWY-7088,True,CPD-2205,CPD-1041,LEFT-TO-RIGHT
RXN-20154,UNK,False,"ACETYL-COA, PROT-CYS","Protein-S-Acetyl-Cysteines, CO-A",LEFT-TO-RIGHT
RXN-15491,PWY-7491,False,"CPD-8959, CPD-12575","CPD-16746, UDP, PROTON",LEFT-TO-RIGHT
RXN-8855,PWY-5660,False,"10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-9194, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
RXN-9184,PWY-5827,False,"CPD-9750, CPD-4889, Acceptor","CPD-9745, Donor-H2",LEFT-TO-RIGHT
RXN-14070,PWY-7186,False,CPD-15073,CPD-15076,LEFT-TO-RIGHT
RXNQT-4191,PWY-6908,False,"WATER, THIAMINE-P, THIAMINE-P, WATER","Pi, THIAMINE, THIAMINE, Pi",LEFT-TO-RIGHT
RXN-10768,UNK,False,"S-ADENOSYLMETHIONINE, CPD-734","ADENOSYL-HOMO-CYS, CPD1F-2",LEFT-TO-RIGHT
